Term,Definition
magnetic resonance imaging,procedure that uses magnetic waves to take a picture of various parts of the body (radiation is not used)
abdomen,belly
abdominal distention,bloating
abduction,movement away from the midline
ablation,remove
abruptio placentae,premature detachment of the placenta
absence seizure,"brief, sudden lapses of attention"
absorb,"take up fluids, take in"
abstain,avoid
achalasia,difficulty swallowing due to esophagus
achilles tendon rupture,torn tendon at the back of the ankle
acid taste,sour taste
acidosis,condition when blood contains more acid than normal
acoustic neuroma,non-cancerous tumor on the auditory nerve
acromegaly,excess growth hormone
actinic keratosis,precancerous skin growth
acuity,clearness
acute,short-term; sudden onset
acute cholecystitis,"gall stones, which may cause upper abdominal pain"
acute tubular necrosis,kidney damage due to low blood flow
addison's disease,adrenal insufficiency
addison’s disease,underproduction of cortisol
adduction,movement toward the midline
adenomyosis,thickening of the uterine walls
adenopathy,swollen glands
adhesive capsulitis,medical term for frozen shoulder
adjuvant,"helpful, assisting, added"
adverse effect,side effect
agent,"drug, medication"
ageusia,loss of taste
agranulocytosis,severe low white blood cell count
aids,acquired immunodeficiency syndrome
albumin,protein found in blood
alkalosis,too much base in the body
allergic reaction,"rash, trouble breathing"
alopecia,hair loss
alopecia areata,hair loss
alport syndrome,inherited kidney disease
alzheimer's disease,memory loss condition
amaurosis fugax,temporary vision loss
amblyopia,lazy eye
ambulate,able to walk
ambulation,able to walk
amenorrhea,absence of periods
amnesia,loss of memory; inability to remember
amyotrophic lateral sclerosis (als),lou gehrig’s disease
anal fissure,tear in the lining of the anus
analgesic,pain-relieving drug
anaphylactic shock,severe allergic reaction
anaphylaxis,"a severe, life-threatening allergic reaction"
anasarca,"build up of fluid throughout the whole body, which occurs in severely ill people"
anemia,low red blood cell count
anesthetic,"a drug or agent used to decrease the feeling of pain, or eliminate the feeling of pain by putting you to sleep"
anesthetize,to numb; put to sleep
aneurysm,ballooning of a blood vessel
angina,pain from not enough blood to the heart
angioedema,swelling under the skin
ankyloglossia,tongue-tie
ankylosing spondylitis,inflammation of the spine and joints
ankylosis,abnormal stiffening of a joint
anorchia,absence of one or both testicles
anorexia,loss of appetite
anosmia,loss of smell
antecubital,inside the elbow
anterior cruciate ligament (acl) tear,torn ligament in the knee
antibiotic,drug that kills germs
antibodies,natural chemicals in the body that fight infection
antibody,protein made in the body in response to foreign substance
anticonvulsant,drug used to prevent seizures
antiemetic,medication to prevent nausea/vomiting
antilipemic,a drug that lowers fat levels in the blood
antilipidemic,drug that decreases the level of fat in the blood
antimicrobial,drug that kills bacteria and other germs
antiretroviral,drug that inhibits viruses
antitussive,drug that relieves coughing
anuria,no urine production
anus,rectum
aortic stenosis,narrowing of the aorta
aphasia,loss of ability to speak
aphonia,loss of voice
aplastic anemia,a disorder caused by decreased production of red blood cells
apnea,absence of breathing
appendicitis,inflammation of the appendix
ards (acute respiratory distress syndrome),severe lung failure
arrhythmia,irregular heart beat
arrhythmia or dysrhythmia,a change from the normal heartbeat
arterial catheter,small tube placed in an artery
arterial thrombosis,blood clot in an artery that blocks the artery. this could be serious and life threatening
arteriosclerosis,stiffening of the arteries
arteriovenous malformation,abnormal blood vessel connections
artery,blood vessel
arthralgia,joint pain
arthritis,joint inflammation
asbestosis,lung disease from inhaling asbestos
ascites,build up of fluid in the abdomen causing bloating and discomfort
aspergillosis,fungal infection in the lungs
aspiration,fluid entering the lungs
aspiration pneumonia,lung infection from inhaling food/liquid
assay,lab test
assess,to learn about
asthenia,loss of energy; weakness
asthma,lung disease associated with tightening of the air passages
astigmatism,blurred vision due to curvature of the cornea
asymptomatic,without symptoms
ataxia,unsteady movement
atelectasis,partial lung collapse
atherosclerosis,hardening of the arteries
atrial fibrillation,irregular heartbeat
autism spectrum disorder,developmental disability affecting communication
autoimmune enteritis,"this is when your immune system attacks normal cells in your body, including the cells that line your digestive tract. this may result in bleeding and inflammation of the esophagus, bowel (intestines), and lower gi tract (colon), which can cause bleeding, diarrhea and perforations (holes). this could be serious or life threatening. hospitalization and treatment with medications (steroids) may be necessary. this can become severe and may require surgical removal of parts of the intestines or colon. these surgical procedures might result in your having a stoma (hole) though which digested food passes"
axilla,armpit
bacteria,germs
baker's cyst,fluid-filled swelling behind the knee
balanitis,inflammation of the penis head
barrett's esophagus,damage to the esophagus lining
barrett’s esophagus,abnormal changes in the esophagus
bartholin's cyst,fluid-filled swelling near the vaginal opening
basal cell carcinoma,common form of skin cancer
baseline,"1. information gathered at the beginning of a study from which variations found in the study are measured. 2. a known value or quantity with which an unknown is compared when measured or assessed. 3. the initial time point in a clinical trial, just before a participant starts to receive the experimental treatment which is being tested. at this reference point, measurable values such as cd4 count are recorded. safety and efficacy of a drug are often determined by monitoring changes from the baseline values."
bell's palsy,temporary facial paralysis
benefit,a valued or desired outcome; an advantage
benign,"not malignant, without serious consequences"
bid,twice a day
biliary atresia,blockage of the bile ducts in newborns
biliary cirrhosis,liver damage due to bile duct problems
bilirubinemia,high levels of bilirubin in the blood
bilirubinuria,bilirubin in urine
bioavailability,the extent to which a drug becomes available to the body
biologic,"any therapeutic serum, toxin, anti-toxin, or analogous microbial product applicable to the prevention, treatment, or cure of diseases or injuries"
biopsy,removal and examination of tissue
bipolar disorder,mood disorder
blastomycosis,fungal infection affecting lungs and skin
blepharitis,eyelid inflammation
blind,"a randomized trial is ""blind"" if the participant is not told which arm of the trial he is on"
blood profile,series of blood tests
bolus,given all at once
bone density,bone thickness; hardness of bone
bone mass,the amount of calcium and other minerals in a given amount of bone
borderline personality disorder,unstable moods and behaviors
botulism,food poisoning from bacteria
bowel perforation,perforation of the digestive system
brachial plexus injury,nerve damage in the shoulder
bradycardia,slow heartbeat
bradypnea,slow breathing
brain stem edema,"accumulation of fluid around the brain stem, this can be life threatening"
breech presentation,baby positioned feet or buttocks first
bronchiectasis,damage to the airways
bronchiolitis,inflammation of the small airways in infants
bronchitis,inflammation of the airways
bronchopneumonia,inflammation of the lungs and bronchi
bronchoscopy,procedure to view the airways
bronchospasm,breathing distress caused by narrowing of the airways
brugada syndrome,genetic disorder affecting heart rhythm
bullae,large blisters
bundle branch block,block in electrical impulses of the heart
bursitis,inflammation of a bursa
callus,thickened skin due to friction
carcinogenic,cancer-causing
carcinoma,a type of cancer
cardiac,related to the heart
cardiac arrest,"sudden, unexpected stopping of the heart."
cardiac catheterization,a procedure in which a small tube (catheter) is inserted through blood vessels in the groin and into the heart that uses highlighting fluid to look at the blood vessels in the heart
cardiac effusion,collection of fluid around the heart
cardiac toxicity,damage to the heart
cardiogenic shock,heart failure leading to shock
cardiomegaly,enlarged heart
cardiomyopathy,heart muscle becomes damaged and the heart doesn’t pump properly
cardiovascular,heart and blood vessels
cardioversion,return to normal heartbeat by electric shock
carotid artery stenosis,narrowing of the carotid arteries
carpal tunnel syndrome,nerve compression in the wrist
case study,"a research strategy that focuses on one case (an individual, a group, an organization, etc.) within its social context during one time period"
cataract,clouding of the lens
catheter,a tube for withdrawing or giving fluids
celiac disease,gluten intolerance damaging the small intestine
cellulitis,skin infection
central nervous system,the brain and spinal cord
central nervous system (cns),brain and spinal cord
cephalopelvic disproportion,baby's head too large for the mother’s pelvis
cerebral palsy,motor disability due to brain injury
cerebral trauma,damage to the brain
cerebrovascular accident,stroke
cervical dysplasia,abnormal cell growth on the cervix
cessation,stopping
chalazion,eyelid cyst
charcot foot,joint damage in the foot due to nerve damage
chemotherapy,treatment of disease with chemical agents
chiari malformation,brain tissue extends into spinal canal
cholangitis,inflammation of the bile ducts
cholecystitis,inflammation of the gallbladder
choledocholithiasis,stones in the bile duct
cholelithiasis,gallstones
cholestasis,blocked bile flow
cholesteatoma,abnormal skin growth in the middle ear
chondromalacia patella,softening of the cartilage under the kneecap
chondrosarcoma,cancer of cartilage
chorea,involuntary jerky movements
choriocarcinoma,cancer of the placenta
chronic,"continuing for a long time, ongoing"
cirrhosis,scarring of the liver
claudication,pain from reduced blood flow to legs
clinical,medical care
clinical trial,an experiment in humans
clinically significant,of major importance for treating or evaluating patients
clubbing,enlarged fingertips due to low oxygen
cluster sample,a probability sample that is determined by randomly selecting clusters of people from a population and subsequently selecting every person in each cluster for inclusion in the sample
coagulopathy,blood clotting disorder
coarctation of the aorta,narrowing of the aorta
coccidioidomycosis,fungal lung infection (valley fever)
coerced,pressured; forced
cognitive status,levels of awareness and thinking
cognitively impaired,having either a psychiatric disorder or a developmental disorder that affects cognitive or emotional functions to the extent that capacity for judgment and reasoning is significantly diminished
cohort,a group of subjects initially identified as having one or more characteristics in common who are followed over time
colitis,inflammation of the colon
colon,large intestines; bowel
colonoscopy,procedure to look at the large intestine that uses a special camera at the end of a long tube that is inserted in the rectum
coma,unconscious state
compartment syndrome,increased pressure within a muscle compartment
compassionate use,a method of providing experimental therapeutics prior to final fda approval for use in humans
compensation,payment or medical care provided to subjects injured in research; does not refer to payment (remuneration) for participation in research
competence,"a legal term to indicate a person’s capacity to act on one’s own behalf; a person’s ability to understand information presented, to realize the consequences of acting (or not acting) on that information, and to make a choice."
complete response,total disappearance of disease
computed tomography; (ct) scan,computer enhanced x-ray; special type of x-ray
concussion,mild brain injury
confidentiality will not be compromised,other people will not find out
confounding factor,"any factor that might serve as an alternative explanation for a study’s result; confounding factors include non-randomized samples, selection bias, and any arbitrary differences between people that are being compared."
congenital,present before birth
conjunctivitis,irritation and redness in the membrane covering the eye
conn's syndrome,excess aldosterone production
consent,agreement
consolidation phase,treatment phase intended to make a remission permanent (follows induction phase)
constipation,difficulty passing stools
contact dermatitis,skin irritation from contact with an allergen
contract,an agreement
contraindicated,"disadvantageous, perhaps dangerous; a treatment that should not be used in certain individuals or conditions due to risks. for instance, a drug may be contraindicated for pregnant women and people with high blood pressure"
contrast material,a fluid that is given into the vein or an area of the body to highlight the blood vessels or body area under x-ray examination
control group,"in many clinical trials, one group of patients will be given an experimental drug or treatment, while the control group is given either a standard treatment for the illness or a placebo"
controlled trial,research study in which the experimental treatment or procedure is compared to a standard (control) treatment or procedure
contusion,bruise
convenience sample,"a non-probability sample that is determined by selecting participants that are readily accessible (convenient) to the researcher, (examples in studies of stanford students might include going to an organizational meeting or hanging out outside of rastall and asking students exiting the lunchroom to take a survey)"
convulsions,seizures
cooperative group,association of multiple institutions to perform clinical trials
copd,chronic obstructive pulmonary disease
coronary,heart; involving the heart
coronary artery disease,narrowing of heart arteries
correlational relationship,a relationship where two variables are associated (this can be measured in terms of strength and direction using statistical tests) but not causally related
craniectomy,removal of part of the skull
craniotomy,surgical opening of the skull
creatinine clearance,a test of kidney function
cretinism,congenital hypothyroidism
crohn's disease,chronic inflammation of the intestines
crohn’s disease,inflammatory bowel disease affecting the digestive tract
cross-over design,"a type of clinical trial in which each subject experiences, at different times, both the experimental and control therapy"
croup,infection causing barking cough in children
cryptococcosis,fungal infection from soil or bird droppings
cryptorchidism,undescended testicle
cubital tunnel syndrome,nerve compression in the elbow
culture,a test for the presence of germs
cumulative,added together from the beginning
cushing's syndrome,excess cortisol levels
cutaneous,of the skin
cyanosis,bluish skin due to lack of oxygen
cyanotic heart disease,heart defect causing low oxygen levels
cystic fibrosis,genetic disorder affecting the lungs and pancreas
cystitis,bladder infection
cystocele,bulging of the bladder into the vagina
dacryocystitis,infection of the tear duct
de novo,new
de quervain's tenosynovitis,inflammation of tendons in the thumb
debilitation,weakened condition
debrief,"giving participants previously undisclosed information about the research project following completion of their participation in research. in studies involving deception, if the participants are not informed of the deception in the informed consent, the irb-sbs requires a signed debrief form for each participant following completion of his/her participation in the study"
deception,"the intentional withholding of information from participants, or deception about the study’s purpose and exact nature, that is deemed necessary by the researcher in order to meet the study’s goals"
deep vein thrombosis,blood clot in a deep vein
defecate,bowel movement; to pass stools
defibrillation,a procedure that uses electricity to stimulate the heart and make it return to its normal rhythm
dehydrate,lose water or body fluids
delirium tremens,severe alcohol withdrawal
dermatitis,"skin irritation, rash"
dermatologic,of the skin
dermatomyositis,muscle inflammation with skin rash
deteriorate,condition to grow worse
deviated septum,misalignment of the nasal septum
diabetes insipidus,excessive urination due to hormone imbalance
diabetes mellitus,high blood sugar
diabetic ketoacidosis,complication of diabetes
diabetic neuropathy,nerve damage from diabetes
diagnostic trials,"refers to trials that are are conducted to find better tests or
procedures for diagnosing a particular disease or condition"
diarrhea,"frequent, loose watery stools, which can cause dehydration and may require hospitalization and treatment with intravenous fluids"
diastolic,lower number in a blood pressure reading
diastolic blood pressure,the blood pressure when the heart rests between beats; the bottom number of a blood pressure reading
diplopia,double vision
disseminated intravascular coagulation (dic),abnormal blood clotting and bleeding
dissociative identity disorder,multiple personality disorder
distal,away from the center of the body
distal parathesias,numbness and tingling in the hands and feet.
distensions,bloated; swollen; inflated
diuresis,increased urine production
diuretic,drug that causes an increase in urination
diverticulitis,inflammation of colon pouches
diverticulosis,formation of small pouches in the colon
doppler,device using sound waves to diagnose or test
dose-ranging study,a clinical trial in which two or more doses of an agent (such as a drug) are tested against each other to determine which dose works best and is least harmful
double-blind,neither you nor your doctor will know what medicine you are taking (this can be found out easily if necessary)
double-blind design,an experiment in which neither the participants nor the research staff who interact with them knows the memberships of the experimental or control groups. also known as double-masked design (see single-blind design and open design)
duodenal atresia,blockage of the duodenum
duodenitis,inflammation of the duodenum
duodenum,beginning of the small intestine that is attached to the stomach
dupuytren's contracture,thickening of the hand's tissue
duration,length of time involved
dysarthria,slurred speech
dysfunction,not functioning properly
dysgeusia,distorted sense of taste
dyslipidemia,high cholesterol
dyspepsia,gas; upset stomach
dysphagia,difficulty swallowing due to esophagus
dysphonia,hoarse voice
dysplasia,abnormal cells
dyspnea,hard to breathe; short of breath
dysthymia,chronic mild depression
dystonia,involuntary muscle contractions
dysuria,painful urination
ecchymosis,bruising
"ecg, ekg, or electrocardiogram",picture and measurement of the heart rhythm
echocardiogram,using soundwaves for heart  examination
eclampsia,seizures due to high blood pressure
ectasia,dilation or distention of a hollow organ
ectopic pregnancy,pregnancy outside the uterus
eczema,skin rash
edema,swelling
eeg,measurement of electrical activity of the brain
efficacy,effectiveness
ehlers-danlos syndrome,connective tissue disorder causing loose joints
eisenmenger syndrome,heart defect causing reversed blood flow
electrocardiogram,electrical tracing of the heartbeat (ecg or ekg)
electrode,wire
electrolyte changes,"changes in electrolytes (body salts), which usually do not cause any symptoms but that can sometimes cause fatigue, muscle weakness, cramping, rigidity, irregular heart beat, or seizures"
electrolyte imbalance,imbalance of salts or chemicals in the blood
electrophysiology study,heart rhythm study
"elevated lipase, amylase","may indicate inflammation of the pancreas, which could result in abdominal pain and discomfort and could require hospitalization and intravenous treatment"
elevated uric acid levels,may worsen kidney function; cause joint pain (gout) and kidney stones
elevation of liver function tests,evidence of liver or kidney damage
eligibility criteria,summary criteria for participant selection; includes inclusion and exclusion criteria
elucidate,to make clear; to determine; to find out
emancipated minor,"a legal status given to those individuals who have not yet attained the age of legal competency as defined by state law, but who are entitled to adult treatment because of assuming adult responsibilities such as being self-supporting and not living at home, marriage, or procreation"
embolism,blocked blood vessel
embryo,unborn baby
emesis,vomiting
emphysema,lung tissue damage
empiric,based on experience
empirical,"based on experimental data, not on a theory."
empyema,pus in the pleural space
encephalitis,brain inflammation
encephalopathy,disease of the brain that severely alters thinking
encopresis,fecal incontinence
endocarditis,inflammation of the heart's inner lining
endometrial hyperplasia,thickening of the uterus lining
endometriosis,abnormal growth of uterine tissue
endoscopic exam,exam of an internal part of the body with a lighted tube
endoscopic examination,examination of an internal part of the body with a lighted tube
endpoint,overall outcome that the protocol is designed to evaluate
enema,medication given through the rectum that cleans out the bowel
enteral,by way of the intestines
enterocele,prolapse of the small intestine into the pelvis
enuresis,bedwetting
enzyme,a chemical in the blood that causes chemical changes
enzyme abnormality,blood test result that suggests abnormal organ function or injured cells
eosinophilia,high levels of eosinophils (a type of white blood cell)
eosinophilic esophagitis,allergic inflammation of the esophagus
ependymoma,tumor in the central nervous system
epidemiology,the branch of medical science that deals with the study of incidence and distribution and control of a disease in a population.
epidermoid cyst,non-cancerous lump under the skin
epidermolysis bullosa,fragile skin that easily blisters
epididymitis,inflammation of the epididymis
epididymoorchitis,inflammation of the epididymis and testicle
epidural,outside the spinal cord
epidural hematoma,bleeding between the skull and brain
epiglottitis,inflammation of the epiglottis
epilepsy,seizure disorder
epistaxis,bloody nose
equitable,fair or just; used in the context of selection of participants to indicate that the benefits and burdens of research are fairly distributed
eradicating,getting rid of
erysipelas,skin infection
erythema,redness of the skin
erythema multiforme,skin reaction with red patches
erythrocytosis,increased red blood cells
esophagus,food pipe
esophageal atresia,congenital defect where the esophagus doesn’t connect to the stomach
esophageal stricture,narrowing of the esophagus
esophageal varices,enlarged veins in the esophagus
esophagitis,inflammation of the esophagus
ethnographic research,ethnography is the study of people and their cultures
"evaluated, assessed",examined for a medical condition
ewing's sarcoma,bone cancer affecting children
exclusion criteria,reasons for not being included
excrete,"discharge, pass"
excreted,made; given off; put off
extension,straightening a joint
external,outside of the body
extravasate,to leak outside of a blood vessel
familial hypercholesterolemia,genetic high cholesterol
fast,do not eat or drink
fatigue,tire
febrile seizure,seizure due to fever
fetus,unborn baby
fibrillation,irregular beat of the heart or other muscle
fibrodysplasia ossificans progressiva,disorder causing soft tissues to turn into bone
fibromyalgia,widespread muscle pain
fibrosis,thickening or scarring of tissue
fibrous,"having many fibers, like scar tissue"
fistula,abnormal connection between two organs
flatulence,gas passed through the anus/rectum
flexion,bending a joint
flushing,to become red in the face or other part of the body because of rush of blood to the skin; blushing of the skin
fracture,break
frozen shoulder,stiffness and pain in the shoulder joint
ganglion cyst,non-cancerous lump near joints or tendons
gastric,stomach
gastric volvulus,twisting of the stomach
gastritis,stomach lining inflammation
gastroenteritis,stomach flu
gastroesophageal reflux disease (gerd),acid reflux disease (heartburn)
gastrointestinal,stomach and intestines
gastroparesis,slow stomach emptying
gastropathy,stomach lining disorder
gastroschisis,birth defect where the intestines are outside the body
generalized anxiety disorder,chronic anxiety
gestational,pertaining to pregnancy
gingivitis,gum inflammation
glaucoma,eye pressure condition
glioblastoma multiforme,aggressive brain cancer
glomerulonephritis,kidney inflammation
glossitis,inflammation of the tongue
glucose,sugar
glycosuria,sugar in urine
goiter,enlarged thyroid
gout,joint inflammation due to uric acid
gouty arthritis,joint inflammation due to uric acid
granuloma annulare,benign skin condition forming bumps
graves' disease,autoimmune hyperthyroidism
guillain-barre syndrome,immune system attacks the nerves
hallux valgus,bunion
hammer toe,abnormal bending of a toe
hashimoto's thyroiditis,autoimmune hypothyroidism
hashimoto’s thyroiditis,autoimmune thyroid disorder
hearing loss,partial or total deafness
heart block,delayed or blocked heart signals
hemangioma,benign blood vessel tumor
hemarthrosis,bleeding into a joint
hematemesis,vomiting blood
hematochezia,blood in stool
hematocrit,amount of red blood cells in the blood
hematoma,"a bruise; bleeding into the body tissue around a blood vessel (if at the skin surface, it looks like a bruise)"
hematuria,blood in urine
hemiballismus,"violent, uncontrollable limb movements"
hemochromatosis,excess iron in the body
hemodynamic measurement,test to measure blood flow
hemolysis,breakdown in red blood cells
hemolytic anemia,destruction of red blood cells
hemoperitoneum,blood in the abdominal cavity
hemophilia,blood clotting disorder
hemopneumothorax,air and blood in the chest cavity
hemoptysis,coughing up blood
hemorrhage,bleeding
hemorrhoids,swollen anal veins
hemothorax,blood in the chest cavity
heparin lock,needle placed with blood thinner to keep blood from clotting inside the needle or tubing
hepatic,liver
hepatic encephalopathy,brain damage due to liver failure
hepatitis,inflammation of the liver
hepatocellular carcinoma,liver cancer
hepatoma,cancer or tumor of the liver
hepatomegaly,enlarged liver
hepatopathy,liver disease
hepatosplenomegaly,enlarged liver and spleen
heritable disease,a disease which can be passed to children resulting in damage to future children
hernia,organ protrusion
herniated disc,slipped or ruptured spinal disc
herpes simplex,cold sores or genital herpes
herpes zoster,shingles
hirschsprung's disease,missing nerve cells in the colon
histopathologic,pertaining to disease of body tissues or cells
histoplasmosis,fungal infection from bird or bat droppings
history positive,in past medical history; that you have ever had
hiv,human immunodeficiency virus
hodgkin's lymphoma,type of lymphatic cancer
hordeolum,stye
huntington’s disease,progressive brain disorder
hydatidiform mole,abnormal growth in the uterus
hydrocele,fluid accumulation in the scrotum
hydrocephalus,fluid buildup in the brain
hydronephrosis,swelling of the kidney
hydrosalpinx,fluid in the fallopian tube
hydrothorax,fluid in the chest cavity
hyperbilirubinemia,high bilirubin levels
hypercalcemia,high calcium levels
hypercapnia,high carbon dioxide levels
hyperchloremia,high chloride levels
hypercholesterolemia,high cholesterol levels
hyperemesis gravidarum,severe nausea during pregnancy
hyperglycemia,high blood sugar
hyperglycemic hyperosmolar state,severe high blood sugar
hyperhidrosis,excessive sweating
hyperkalemia,high potassium levels
hyperlipidemia,high levels of fat in the blood
hypermagnesemia,high magnesium levels
hypernatremia,high blood sodium level
hyperopia,farsightedness
hyperosmia,increased sensitivity to smell
hyperosmolar hyperglycemic state,severe dehydration from high blood sugar
hyperoxia,too much oxygen in the blood
hyperparathyroidism,overactive parathyroid glands
hyperphosphatemia,high phosphate levels
hyperpnea,deep or rapid breathing
hyperprolactinemia,high prolactin levels
hypersensitivity pneumonitis,inflammation due to allergic reaction
hypertension,high blood pressure
hyperthyroidism,overactive thyroid
hypertrichosis,excessive hair growth
hypertriglyceridemia,high levels of triglycerides
hypertrophic cardiomyopathy,thickened heart muscle
hyperuricemia,high uric acid levels
hyperventilation,breathing too fast
hypervolemia,high blood volume
hyphema,blood in the eye
hypoalbuminemia,low albumin in the blood
hypocalcemia,low blood calcium level
hypocapnia,low carbon dioxide levels in the blood
hypochloremia,low chloride levels
hypocholesterolemia,low cholesterol levels
hypogeusia,reduced sense of taste
hypoglycemia,low blood sugar
hypohidrosis,decreased sweating
hypokalemia,low blood potassium level
hypomagnesemia,low magnesium levels
hyponatremia,low blood sodium level
hypoparathyroidism,underactive parathyroid glands
hypophosphatemia,low phosphate levels
hypopituitarism,pituitary gland underactivity
hypopnea,shallow breathing
hypospadias,urethral opening on the underside of the penis
hypotension,low blood pressure
hypothesis,a testable statement of how two or more variables are expected to be related to one another
hypothyroidism,underactive thyroid
hypoventilation,breathing too slow
hypovolemia,low blood volume
hypovolemic shock,shock due to blood or fluid loss
hypoxemia,a decrease of oxygen in the blood
hypoxia,low oxygen level in the blood
hysterectomy,removal of the womb
hysteroscopy,procedure to view the uterus
iatrogenic,caused by a physician or by treatment
idiopathic,of unknown cause
idiopathic pulmonary fibrosis,scarring of the lungs
iga nephropathy,kidney inflammation due to iga deposits
immobilization,unable to move
immunity,"defense against, protection from"
immunization,administration of a substance to prevent disease
immunoglobin,a protein that makes antibodies
immunological,relating to the body's ability to fight infection
immunological effects,effect on the immune system
immunosuppressive,drug which suppresses the body's immune response
immunotherapy,drug to help the body's immune system
impaired function,abnormal function
impetigo,bacterial skin infection
implantation,operation to place a device inside the body
incapacity,"refers to a person's mental status and means inability to understand information presented, to appreciate the consequences of acting (or not acting) on that information, and to make a choice"
incision,cut
inclusion/exclusion criteria,the medical or social standards determining whether a person may or may not be allowed to enter a clinical trial
incompetence,used as a legal term to indicate the inability to manage one's own affairs
incompetent cervix,weak cervix causing preterm birth
indicated,suggested; necessary
induce,cause
induction,start
induction phase,beginning phase or stage of treatment
induration,hardening
indwelling,"remaining in a given location, such as a catheter"
inert,not active; substance that doesn't affect you
infarct,death of tissue due to lack of blood supply
infectious disease,disease transmitted from person to person
inflammation,swelling
inflation,to put air in
informed consent,the process of learning the key facts about a clinical trial before deciding whether or not to participate
infused,to drip in; to put in
infusion,"slow injection of a substance into the body, usually into the blood by means of a catheter"
ingest,swallow; eat or drink
ingestion,eating; taking by mouth
inject,to put into by way of a needle or other device
insomnia,unable to sleep
instilled,put into; drip into
institutionalized,"confined, either voluntarily or involuntarily (e.g., a hospital, prison, or nursing home)"
insulin resistance,reduced sensitivity to insulin
intensity,degree; amount
interferon,agent that acts against viruses
intermittent,alternately stopping and starting
"interstitial
pneumonitis, pneumonitis","inflammation of the lungs, which can cause shortness of breath and difficulty breathing"
interstitial lung disease,group of lung diseases causing scarring of lung tissue
intervention,includes both physical procedures by which data are gathered and manipulations of the participant or the participant's environment that are performed for research purposes
intracatheter,small tube in a vein
intramuscular,into the muscle; within the muscle
intramuscular injection,to put into the muscle with a needle
intraperitoneal,into the abdominal cavity
intrathecal,into the spinal fluid
intravenous,in the blood vessel
intravenous (iv),through the vein
intravenous infusion,to drip into the blood vessel through a plastic tube and needle
intravesical,in the bladder
intubate,the placement of a tube into the airway
intussusception,part of the intestine slides into another
invasive procedure,"puncturing, opening, or cutting the skin"
investigational method,a treatment method which has not been proven to be beneficial or has not been accepted as standard care
investigator,the individual(s) designated to have the appropriate level of authority and responsibility to direct the research project and/or activity
iron-deficiency anemia,low iron levels
irradiation,x-ray
irritable bowel syndrome (ibs),chronic digestive disorder causing pain
ischemia,decreased oxygen in a tissue (usually because of decreased blood flow)
ischemic colitis,reduced blood flow to the colon
isolated,to separate; to close off
jaundice,yellowing of the skin
kaposi's sarcoma,cancer that causes skin lesions
keratitis,cornea inflammation
keratoconus,thinning of the cornea
keratosis pilaris,small bumps on the skin
korsakoff syndrome,memory disorder from alcohol abuse
kyphosis,hunched back
labyrinthitis,inflammation of the inner ear
lactating,making breast milk
lactose intolerance,inability to digest lactose
laparotomy,surgical procedure in which an incision is made in the abdominal wall to enable a doctor to look at the organs inside.
laporatomy,incision in the abdominal wall to allow a physician to look at the organs
laryngectomy,removal of the larynx
laryngitis,inflammation of the voice box
laryngospasm,spasms of the vocal cords
"legally authorized representative
(lar)",a person authorized either by statute or by court appointment to make decisions on behalf of another person
lesion,site of the injury; site of the disease
lethargy,sleepiness
leukemia,cancer of the blood
leukocyte,blood cells that fight infection
